userName,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,appVersion,date,avod_end
눌러,진짜 좋긴 좋은데 결제를 해도 등급이 나눠줘 있어서 못보는게 있어 아쉽움,4,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 청소년 보호법 및 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따라 만 19세 미만은 성인용 콘텐츠 이용이 제한됩니다. 본인 인증이 완료된 계정에서도 시청이 불가하다면, laftel.net/adult-check에서 인증 상태를 확인하고, 프로필 시청 등급이 ‘19세 이상’으로 설정돼 있는지 점검해 주세요. 문제가 지속되면 고객센터로 문의해 주세요. ▶︎ https://help.laftel.net/hc/ko/requests/new",3.67.0,2025-07-20 21:03:50,after
김현지,"라프텔 어플을 핸드폰이랑 갤럭시탭에 다 설치해놓고 쓰고있는데, 지지난주부터 갤럭시탭으로 라프텔 들어가서 영상 보려고하면 계속 에피소드를 불러오는데 실패했다고 뜨는데 왜 이러는걸까요...지난달까지는 잘 됐고 이번달부터 갑자기 안돼요..업데이트도 다 했는데 왜이러는지 모르겠네요ㅜ",2,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 라프텔은 인터넷 기반 디지털 콘텐츠 스트리밍 서비스이므로, 고객님께서 이용하는 기기 사양, 네트워크 환경, 통신 서비스 업체 등 다양한 조건에 따라 영상 재생 문제가 발생할 수 있습니다. 아래 자세한 도움말 참고하시어 문제 해결해 보시기 바랍니다. ▶︎ 안드로이드 스마트폰 및 태블릿에서 라프텔 앱 재생 문제 해결 방법: https://help.laftel.net/hc/ko/articles/10083361604879",3.67.0,2025-07-20 14:49:36,after
정호영,굿,5,0,,"안녕하세요, 라프텔 고객센터입니다. 고객님께서 만족하셨다니 저희도 기쁘고 보람을 느낍니다. 앞으로도 더 나은 서비스를 제공하기 위해 최선을 다하겠습니다. 감사합니다!",,2025-07-20 12:14:45,after
김규연,아아 왜 무료보기가 없어졌어요-!! 물론 청소년이라서 보려면 부모님한테 허락 받아야하긴 하지만...그래도 다시 넣어주세요...ㅠ 도대체 왜죠? 도대체 왜죠? 이런 시봉방탈출 유일하게 믿었던 앱이였는데요...이제 손절해야겠다...,1,0,,"안녕하세요, 라프텔 고객센터입니다. 광고 보고 무료 보기는 관련 계약 종료로 인해 2025년 6월 30일부로 서비스 종료되었습니다. 해당 서비스 종료 이후에도, 라프텔에서 제공하는 콘텐츠는 멤버십 구독 또는 개별 작품 구매를 통해 계속해서 이용하실 수 있습니다. 또한, 분분 미션을 완료하시면 무료 멤버십 시간을 받을 수 있는 이벤트는 계속 진행 중이니, 관심 있으시다면 한 번 살펴보셔도 좋을 것 같습니다. ▶︎ https://help.laftel.net/hc/ko/articles/6011122408463",,2025-07-20 10:31:27,after
김윤서,굿,5,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 고객님께서 만족하셨다니 저희도 기쁘고 보람을 느낍니다. 앞으로도 더 나은 서비스를 제공하기 위해 최선을 다하겠습니다. 감사합니다!",3.67.0,2025-07-19 23:36:27,after
태극기휘바이든,마도조사. 최고.,5,0,,"안녕하세요, 라프텔 고객센터입니다. 고객님의 긍정적인 말씀은 저희에게 큰 응원이 됩니다. 만족스러운 경험을 하셨다니 저희도 매우 뿌듯합니다. 앞으로도 지속적으로 더 나은 서비스를 제공하기 위해 최선을 다하겠습니다. 감사합니다!",,2025-07-19 21:35:37,after
cartman eric,아니 레벨은 왜 만들어놓은거? 돈 17000원 내고 애니 못보면 그건 사기 아니냐?,1,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 청소년 보호법 및 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따라 만 19세 미만은 성인용 콘텐츠 이용이 제한됩니다. 본인 인증이 완료된 계정에서도 시청이 불가하다면, laftel.net/adult-check에서 인증 상태를 확인하고, 프로필 시청 등급이 ‘19세 이상’으로 설정돼 있는지 점검해 주세요. 문제가 지속되면 고객센터로 문의해 주세요. ▶︎ https://help.laftel.net/hc/ko/requests/new",3.67.0,2025-07-19 19:09:15,after
사부작,유튭프리미엄처럼 화면끄고 소리만 들을수 있는 기능이 있으면 더할나위가 없을텐데 말입니다,4,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 소중한 시간을 내어 의견을 남겨주셔서 감사드립니다. 고객님의 의견은 담당 부서에 전달하여 서비스 이용 편의를 높일 수 있는 방안을 고려하겠습니다. 앞으로도 더욱 만족스러운 서비스로 보답드릴 수 있도록 최선을 다하겠습니다.",3.67.0,2025-07-19 07:49:42,after
홍성룡,이젠 멤버십만 남았네,2,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 광고 보고 무료 보기는 관련 계약 종료로 인해 2025년 6월 30일부로 서비스 종료되었습니다. 해당 서비스 종료 이후에도, 라프텔에서 제공하는 콘텐츠는 멤버십 구독 또는 개별 작품 구매를 통해 계속해서 이용하실 수 있습니다. 또한, 분분 미션을 완료하시면 무료 멤버십 시간을 받을 수 있는 이벤트는 계속 진행 중이니, 관심 있으시다면 한 번 살펴보셔도 좋을 것 같습니다. ▶︎ https://help.laftel.net/hc/ko/articles/6011122408463",3.67.0,2025-07-19 01:24:43,after
김민서,"맴버쉽이 쌈,광고가 조금 나오고 랙이 걸리는것 빼곤 괜찮음",4,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 광고 보고 무료 보기는 관련 계약 종료로 인해 2025년 6월 30일부터 서비스 종료되었습니다. 해당 서비스 종료 이후에도, 라프텔에서 제공하는 콘텐츠는 멤버십 구독 또는 개별 작품 구매를 통해 계속해서 이용하실 수 있습니다. 번거로우시겠지만 사용 중인 기기에서 라프텔 앱을 삭제한 후 최신 버전으로 다시 설치하여 문제가 해결되었는지 확인해 보실 수 있을까요? 그런데도 이슈가 계속된다면, 기기 모델명과 OS 버전 정보와 함께 문제 상황을 고객센터로 자세히 알려 주시기 바랍니다. ▶︎ 1:1 문의 등록하러 가기: https://help.laftel.net/hc/ko/requests/new",3.67.0,2025-07-18 22:45:59,after
